id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
170,12162,415,1427,129,190,432.0,1504.0,0.9330450296401978,0.9529232382774353,0,0,3072,2048
171,6861,2376,1693,79,151,2448.0,1696.0,0.9327983856201172,0.9759539365768433,0,0,3072,2048
172,23377,1794,1300,117,487,1872.0,1760.0,0.9325133562088013,0.9553163647651672,0,0,3072,2048
173,15848,1121,1117,209,907,1200.0,1184.0,0.9318647384643555,0.9664974212646484,0,0,3072,2048
174,18711,1485,684,158,230,1584.0,800.0,0.9314501285552979,0.9658977389335632,0,0,3072,2048
175,70476,254,1517,439,530,336.0,1888.0,0.9309679269790649,0.9508707523345947,0,0,3072,2048
176,23418,875,602,147,285,1008.0,800.0,0.9305570125579834,0.9589029550552368,0,0,3072,2048
177,4375,2510,549,59,96,2544.0,608.0,0.9300065040588379,0.9731558561325073,0,0,3072,2048
178,3319,698,621,62,64,720.0,672.0,0.9299014806747437,0.9674363732337952,0,0,3072,2048
179,4136,2974,787,83,60,3024.0,800.0,0.9298797249794006,0.9796553254127502,0,0,3072,2048
180,7363,2241,588,73,143,2256.0,608.0,0.9295073747634888,0.9635611176490784,0,0,3072,2048
181,4528,2133,625,75,149,2160.0,672.0,0.9292659759521484,0.9764449000358582,0,0,3072,2048
182,15981,1722,586,113,203,1776.0,608.0,0.9288506507873535,0.9613168239593506,0,0,3072,2048
183,1925,1934,538,71,42,1968.0,544.0,0.9284302592277527,0.9794450402259827,0,0,3072,2048
184,11199,433,1089,66,242,432.0,1184.0,0.928387463092804,0.9553906321525574,0,0,3072,2048
185,23291,1794,1134,142,651,1872.0,1696.0,0.9276517033576965,0.9519467949867249,0,0,3072,2048
186,1814,382,531,47,49,432.0,544.0,0.9273338317871094,0.973884642124176,0,0,3072,2048
187,3031,2893,698,65,61,2928.0,736.0,0.9271619915962219,0.9775317311286926,0,0,3072,2048
188,10826,2825,770,156,120,2928.0,800.0,0.9270721077919006,0.971134603023529,0,0,3072,2048
189,7426,585,806,81,126,624.0,864.0,0.9270457029342651,0.9638283848762512,0,0,3072,2048
190,16409,850,927,131,175,912.0,992.0,0.927007794380188,0.978499174118042,0,0,3072,2048
191,3369,1769,328,79,51,1776.0,352.0,0.9261212348937988,0.9718887209892273,0,0,3072,2048
192,374469,0,0,1074,610,624.0,224.0,0.9257320165634155,0.9590414762496948,0,0,3072,2048
193,6432,78,819,105,95,144.0,864.0,0.925686776638031,0.9704169034957886,0,0,3072,2048
194,12946,208,1822,97,225,240.0,1888.0,0.9248242974281311,0.9693900942802429,0,0,3072,2048
195,22454,1879,1311,214,265,2064.0,1504.0,0.9241975545883179,0.9580775499343872,0,0,3072,2048
196,12876,1451,1734,147,191,1584.0,1824.0,0.9238966107368469,0.9577282667160034,0,0,3072,2048
197,13502,1232,822,145,225,1296.0,928.0,0.9236443042755127,0.9676550030708313,0,0,3072,2048
198,17664,1104,568,141,242,1200.0,672.0,0.9236208200454712,0.9654194712638855,0,0,3072,2048
199,8593,1489,745,231,372,1680.0,800.0,0.9235377311706543,0.9653278589248657,0,0,3072,2048
200,6020,2905,594,77,121,2928.0,608.0,0.922866702079773,0.9685606956481934,0,0,3072,2048
201,4958,36,713,79,76,48.0,736.0,0.9221311211585999,0.9694080352783203,0,0,3072,2048
202,1900,1388,1618,25,109,1392.0,1696.0,0.9216238856315613,0.9766111969947815,0,0,3072,2048
203,972,2347,1355,44,35,2352.0,1376.0,0.9215573072433472,0.9766970872879028,0,0,3072,2048
204,27792,2797,834,139,369,2832.0,1120.0,0.9214956760406494,0.9655550718307495,0,0,3072,2048
205,13632,1017,818,107,178,1104.0,864.0,0.9211418628692627,0.9634084701538086,0,0,3072,2048
206,1921,1532,977,61,44,1584.0,992.0,0.9200642108917236,0.9753466844558716,0,0,3072,2048
207,18384,364,874,152,217,432.0,928.0,0.9195988774299622,0.9672674536705017,0,0,3072,2048
208,1134,1647,393,31,40,1680.0,416.0,0.9193515181541443,0.9782797694206238,0,0,3072,2048
209,4251,1256,674,74,75,1296.0,736.0,0.9193035960197449,0.9696969985961914,0,0,3072,2048
210,1486,1474,1356,47,52,1488.0,1376.0,0.9192854762077332,0.9748010635375977,0,0,3072,2048
211,5590,2800,530,103,120,2832.0,544.0,0.9192407131195068,0.9545454382896423,0,0,3072,2048
212,8620,187,515,103,144,240.0,608.0,0.9192078113555908,0.9748767018318176,0,0,3072,2048
213,8296,2538,404,73,191,2544.0,480.0,0.9191173315048218,0.9655295014381409,0,0,3072,2048
214,14504,2653,969,123,164,2736.0,992.0,0.9190148115158081,0.9502989053726196,0,0,3072,2048
215,8125,1114,964,129,97,1200.0,992.0,0.9185230731964111,0.9737322330474854,0,0,3072,2048
216,2341,1079,546,52,56,1104.0,544.0,0.918313205242157,0.9708737730979919,0,0,3072,2048
217,22259,2421,755,145,306,2448.0,800.0,0.9182702302932739,0.9510774612426758,0,0,3072,2048
218,13410,1095,726,136,161,1200.0,864.0,0.9171946048736572,0.9605176448822021,0,0,3072,2048
219,1841,2221,1240,51,57,2256.0,1248.0,0.9168068170547485,0.954425036907196,0,0,3072,2048
220,24465,2047,1171,308,558,2064.0,1632.0,0.9166700839996338,0.9531449675559998,0,0,3072,2048
221,9049,2296,920,140,391,2352.0,992.0,0.9163217544555664,0.9573823809623718,0,0,3072,2048
222,27785,2663,796,166,395,2736.0,928.0,0.9162951707839966,0.9563961625099182,0,0,3072,2048
223,7098,1093,1911,60,136,1104.0,1952.0,0.9142538905143738,0.9725931882858276,0,0,3072,2048
224,3798,314,618,61,83,336.0,672.0,0.9138750433921814,0.9668651223182678,0,0,3072,2048
225,4443,2434,1695,107,152,2448.0,1824.0,0.9134156703948975,0.96656334400177,0,0,3072,2048
226,12454,2811,1715,132,221,2928.0,1760.0,0.9133909344673157,0.9634800553321838,0,0,3072,2048
227,10797,2519,629,123,138,2544.0,736.0,0.911241888999939,0.970424473285675,0,0,3072,2048
228,3141,800,727,84,73,816.0,736.0,0.911180317401886,0.9662183523178101,0,0,3072,2048
229,6452,2435,798,81,130,2448.0,864.0,0.9110049605369568,0.9509536623954773,0,0,3072,2048
230,2856,1521,629,73,53,1584.0,672.0,0.9100921154022217,0.9685990214347839,0,0,3072,2048
231,6364,2610,750,81,120,2640.0,800.0,0.9098176956176758,0.9658634662628174,0,0,3072,2048
232,6493,2326,918,113,106,2352.0,992.0,0.9067944288253784,0.9646809101104736,0,0,3072,2048
233,5126,1020,818,105,79,1104.0,864.0,0.9060360789299011,0.9635316729545593,0,0,3072,2048
234,4805,104,644,70,80,144.0,672.0,0.90519779920578,0.9602851271629333,0,0,3072,2048
235,6096,2370,700,92,102,2448.0,736.0,0.9051560163497925,0.9680439233779907,0,0,3072,2048
236,2611,1051,547,80,120,1104.0,544.0,0.9046800136566162,0.9651554822921753,0,0,3072,2048
237,4020,2056,1242,47,139,2064.0,1248.0,0.9045875668525696,0.968230664730072,0,0,3072,2048
238,14419,670,621,136,219,720.0,736.0,0.9044116735458374,0.9597470760345459,0,0,3072,2048
239,7827,1649,679,154,182,1776.0,800.0,0.9040929079055786,0.950448215007782,0,0,3072,2048
240,6802,626,582,70,150,624.0,608.0,0.9039133787155151,0.9566714763641357,0,0,3072,2048
241,41150,336,771,180,551,432.0,928.0,0.9037289619445801,0.9604639410972595,0,0,3072,2048
242,2114,1627,820,79,55,1680.0,864.0,0.9032407402992249,0.9707112908363342,0,0,3072,2048
243,6827,211,727,80,122,240.0,736.0,0.9027059078216553,0.9748772978782654,0,0,3072,2048
244,12189,2091,1168,134,165,2160.0,1248.0,0.9011723399162292,0.9597908854484558,0,0,3072,2048
245,13116,1205,639,127,189,1296.0,736.0,0.9006305932998657,0.950141191482544,0,0,3072,2048
246,7673,1502,565,141,94,1584.0,608.0,0.9003784656524658,0.9689743518829346,0,0,3072,2048
247,13815,2038,1732,120,194,2064.0,1888.0,0.8990048170089722,0.9585928916931152,0,0,3072,2048
248,5305,395,646,69,115,432.0,672.0,0.8981202840805054,0.9563294649124146,0,0,3072,2048
249,9458,76,818,107,134,144.0,864.0,0.8963820934295654,0.9576297402381897,0,0,3072,2048
250,1584,1347,1317,69,26,1392.0,1312.0,0.8956790566444397,0.9695463180541992,0,0,3072,2048
251,3198,1936,726,51,81,1968.0,736.0,0.8953794240951538,0.9593644738197327,0,0,3072,2048
252,3214,2038,1863,88,65,2064.0,1888.0,0.89497971534729,0.9696226119995117,0,0,3072,2048
253,1976,1488,1549,103,46,1488.0,1568.0,0.8946704864501953,0.962338924407959,0,0,3072,2048
254,13131,0,560,102,201,48.0,672.0,0.8936580419540405,0.9618257880210876,0,0,3072,2048
255,7567,2082,628,94,152,2160.0,736.0,0.8930751085281372,0.9514337182044983,0,0,3072,2048
256,2703,315,329,25,138,336.0,352.0,0.8929988145828247,0.9582728743553162,0,0,3072,2048
257,1535,293,538,51,37,336.0,544.0,0.8927871584892273,0.9723472595214844,0,0,3072,2048
258,25680,1005,1699,92,348,1008.0,1824.0,0.8926556706428528,0.9622403979301453,0,0,3072,2048
259,6742,1760,1305,177,97,1776.0,1312.0,0.8926204442977905,0.9604133367538452,0,0,3072,2048
260,8274,0,475,212,74,48.0,480.0,0.8922716379165649,0.9556132555007935,0,0,3072,2048
261,3636,2239,333,219,53,2448.0,352.0,0.8909637331962585,0.9607210159301758,0,0,3072,2048
262,3059,2805,530,61,73,2832.0,544.0,0.8907830715179443,0.9540523290634155,0,0,3072,2048
263,13023,2822,946,106,260,2832.0,1120.0,0.890312671661377,0.9639598727226257,0,0,3072,2048
264,3132,1906,620,69,96,1968.0,672.0,0.888106644153595,0.9572008848190308,0,0,3072,2048
265,19432,2472,1129,380,205,2544.0,1184.0,0.8878417015075684,0.9541524052619934,0,0,3072,2048
266,49956,1476,1425,307,310,1584.0,1504.0,0.8871345520019531,0.9719494581222534,0,0,3072,2048
267,9249,1501,527,145,131,1584.0,608.0,0.8870465755462646,0.9599109292030334,0,0,3072,2048
268,10409,1721,647,136,140,1776.0,672.0,0.8865644931793213,0.9616941213607788,0,0,3072,2048
269,4353,2336,568,66,92,2352.0,608.0,0.8858762979507446,0.9661093354225159,0,0,3072,2048
270,7239,1990,745,179,267,2160.0,992.0,0.8856111764907837,0.9506189227104187,0,0,3072,2048
271,6367,2517,691,126,79,2544.0,736.0,0.8854460716247559,0.9577118158340454,0,0,3072,2048
272,3301,2719,679,53,96,2736.0,736.0,0.8853205442428589,0.9683676362037659,0,0,3072,2048
273,5139,1118,964,126,60,1200.0,992.0,0.8846016526222229,0.9537671208381653,0,0,3072,2048
274,2230,2333,567,61,55,2352.0,608.0,0.884505569934845,0.9595782160758972,0,0,3072,2048
275,6907,1241,794,117,115,1296.0,800.0,0.8841298818588257,0.9546678066253662,0,0,3072,2048
276,50270,1476,1425,355,442,1584.0,1440.0,0.8833714723587036,0.9728191494941711,0,0,3072,2048
277,7450,1324,702,101,144,1392.0,736.0,0.8825415372848511,0.9532477855682373,0,0,3072,2048
278,30119,365,873,153,454,432.0,992.0,0.8815475702285767,0.9500876069068909,0,0,3072,2048
279,8392,34,709,102,121,48.0,800.0,0.8814101219177246,0.9701842665672302,0,0,3072,2048
