id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
117,599,232,310,21,32,240.0,336.0,0.9483596682548523,0.9736841917037964,0,0,1024,1024
118,6425,418,451,77,164,464.0,528.0,0.948072075843811,0.9624312520027161,0,0,1024,1024
119,5327,685,673,93,234,752.0,880.0,0.9479290246963501,0.9609863758087158,0,0,1024,1024
120,19596,0,535,81,488,48.0,656.0,0.947842001914978,0.9600380063056946,0,0,1024,1024
121,3225,601,323,46,121,624.0,400.0,0.9475128650665283,0.9696969985961914,0,0,1024,1024
122,605,318,701,37,69,336.0,720.0,0.9474837183952332,0.9624795913696289,0,0,1024,1024
123,3503,178,534,52,91,208.0,592.0,0.9474283456802368,0.9757746458053589,0,0,1024,1024
124,3659,555,690,58,183,592.0,816.0,0.9469349980354309,0.9690694212913513,0,0,1024,1024
125,1314,63,261,33,68,80.0,304.0,0.9463670253753662,0.9781954884529114,0,0,1024,1024
126,2639,25,310,47,99,48.0,368.0,0.9460281133651733,0.9705663323402405,0,0,1024,1024
127,1902,839,315,44,68,848.0,368.0,0.9458149671554565,0.9704663157463074,0,0,1024,1024
128,1180,345,298,39,51,368.0,304.0,0.9456271529197693,0.9757322072982788,0,0,1024,1024
129,3580,628,656,68,131,688.0,720.0,0.945563793182373,0.9604721665382385,0,0,1024,1024
130,1210,632,439,39,64,656.0,464.0,0.9455042481422424,0.977959156036377,0,0,1024,1024
131,2758,94,753,31,155,112.0,848.0,0.9454300999641418,0.9625802040100098,0,0,1024,1024
132,716,380,683,41,21,400.0,688.0,0.9453800916671753,0.9712328910827637,0,0,1024,1024
133,2886,247,529,57,98,272.0,560.0,0.9453445672988892,0.9501683712005615,0,0,1024,1024
134,11563,85,760,145,263,144.0,880.0,0.9452874064445496,0.9670946598052979,0,0,1024,1024
135,378,587,292,24,20,592.0,304.0,0.9445265531539917,0.9765012860298157,0,0,1024,1024
136,1622,25,343,48,66,48.0,400.0,0.9444729089736938,0.9714459180831909,0,0,1024,1024
137,3170,25,409,54,102,48.0,432.0,0.9443204402923584,0.9695557355880737,0,0,1024,1024
138,2725,374,559,69,266,432.0,592.0,0.9439077377319336,0.9836125373840332,0,0,1024,1024
139,5426,709,641,101,266,720.0,688.0,0.9437118768692017,0.9519282579421997,0,0,1024,1024
140,1917,139,734,43,70,176.0,784.0,0.943579375743866,0.9632278084754944,0,0,1024,1024
141,28541,788,649,131,374,880.0,816.0,0.9435182809829712,0.9712053537368774,0,0,1024,1024
142,5818,0,162,141,75,48.0,208.0,0.9433997869491577,0.9533321857452393,0,0,1024,1024
143,1306,499,283,49,45,528.0,304.0,0.943211555480957,0.9742619395256042,0,0,1024,1024
144,3215,121,437,50,126,144.0,464.0,0.9431341290473938,0.968482255935669,0,0,1024,1024
145,651,995,843,28,26,1008.0,848.0,0.942333996295929,0.9802731275558472,0,0,1024,1024
146,777,991,422,30,41,1008.0,432.0,0.9419533014297485,0.9833971858024597,0,0,1024,1024
147,2358,932,416,46,79,944.0,432.0,0.9419411420822144,0.9723849296569824,0,0,1024,1024
148,2088,69,912,32,111,80.0,944.0,0.941822350025177,0.9550772309303284,0,0,1024,1024
149,1397,162,432,42,54,176.0,464.0,0.9416348934173584,0.9752475023269653,0,0,1024,1024
150,2194,0,281,33,98,16.0,304.0,0.9414223432540894,0.9677852392196655,0,0,1024,1024
151,434,12,622,19,36,16.0,624.0,0.9407517910003662,0.9795918464660645,0,0,1024,1024
152,343,645,269,23,21,656.0,272.0,0.9405364394187927,0.9688385128974915,0,0,1024,1024
153,757,418,336,25,40,432.0,368.0,0.9405357241630554,0.9713168144226074,0,0,1024,1024
154,2196,940,362,67,78,976.0,400.0,0.9405206441879272,0.9731183052062988,0,0,1024,1024
155,4203,336,850,29,173,336.0,912.0,0.9404974579811096,0.9688816070556641,0,0,1024,1024
156,753,836,275,20,47,848.0,304.0,0.9401891231536865,0.977748692035675,0,0,1024,1024
157,1401,0,535,35,54,16.0,560.0,0.9400918483734131,0.9774647951126099,0,0,1024,1024
158,7812,632,351,89,208,656.0,432.0,0.939739465713501,0.9550519585609436,0,0,1024,1024
159,5854,633,396,86,147,656.0,432.0,0.9396775960922241,0.9517631530761719,0,0,1024,1024
160,1959,958,443,59,133,976.0,560.0,0.9396393299102783,0.9537543654441833,0,0,1024,1024
161,11427,630,441,76,396,656.0,720.0,0.9396188259124756,0.9655884504318237,0,0,1024,1024
162,1341,11,355,34,57,16.0,368.0,0.9388173818588257,0.96334308385849,0,0,1024,1024
163,1400,180,509,47,49,208.0,528.0,0.9386336803436279,0.9746657013893127,0,0,1024,1024
164,2690,573,293,39,99,592.0,336.0,0.9386036396026611,0.9657184481620789,0,0,1024,1024
165,12772,893,820,130,203,1008.0,880.0,0.9382522106170654,0.9717010259628296,0,0,1024,1024
166,836,806,377,31,38,816.0,400.0,0.9381510615348816,0.9716312289237976,0,0,1024,1024
167,2375,410,409,49,114,432.0,464.0,0.9380452632904053,0.9689698219299316,0,0,1024,1024
168,915,112,227,40,40,144.0,240.0,0.9379687309265137,0.9730312824249268,0,0,1024,1024
169,465,416,319,30,23,432.0,336.0,0.9373987317085266,0.9556025266647339,0,0,1024,1024
170,4112,292,305,50,130,304.0,336.0,0.9367623329162598,0.9553762078285217,0,0,1024,1024
171,2705,166,461,54,135,176.0,528.0,0.9366172552108765,0.9638205766677856,0,0,1024,1024
172,2257,471,339,38,90,496.0,368.0,0.9361639618873596,0.9729965329170227,0,0,1024,1024
173,847,339,410,36,35,368.0,432.0,0.9360334277153015,0.9812865257263184,0,0,1024,1024
